A
A.B. =(=able body) | potocznie starszy marynarz
air conditioner (e kon’dyszone) | klimatyzator
air drilling | wiercenie p³uczk¹ powietrzn¹
air filter | filtr powietrza


air hose (e houz) | w¹¿ powietrzny
air injection (er yn’d¿ekszu) | wt³aczanie powietrza
air lift (e lift) | wynoszenie zwiercin powietrzem, gazodŸwig z u¿yciem powietrza
air | powietrze, wietrzyæ
air starter | rozrusznik powietrzny
air supply | system powietrzny, dostarczanie powietrza (np. przy wierceniu) 
air winch (e lyncz) | wci¹garka powietrzna 
air-cooled | ch³odzony powietrzem 
air-escape | odpowietrznik
air-gap | przeœwit powietrzny (odleg³oœæ pontonu od wody), szczelina powietrzna 
air main | g³ówny przewód powietrzny
air-tight | henn etyczny, nie przepuszczaj¹cy powietrza, powietrzno szczelny
alarm system | system sygnalizacyjny (alarmowy)
alive (e’lajw) | czynny, /¿ywy/
alkali | zasada (wodorotlenek)
alkaline solution | roztwór zasadowy
all hands | potocznie ca³a za³oga
all-around weld | spoina obwodowa, ko³owa
Allen key (elen ki) | klucz do wkrêtów z gniazdkiem 6-k¹tnym
Allen skrew (elen skra) | wkrêt z ³bem z gniazdkiem 6-k¹tnym
allowable concentration | stê¿enie dopuszczalne
allowable load | dopuszczalny udŸwig
allowable stress | naprê¿enie dopuszczalne, naprê¿enie bezpieczne
allowance | naddatek, dodatek (np. finansowy), zasi³ek, dieta, przydzia³, rabat
allowed=(=permitted) | dozwolony
alloy cast-iron | ¿eliwo stopowe
alloy cast-steel =(=alloy steel) | stal stopowa
alloy | stop (metalu)
all-purpose-(-all-around) | uniwersalny, wszechstronny
all-welded | ca³kowicie spawany
almost certain | prawie pewny
almost everywhere | prawie wszêdzie
alongside | przy burcie
alternating current-(=AC) | pr¹d przemienny (elektryczny) 
alternating-current motor | silnik pr¹du przemiennego
alternative current(ol’fenatyw ‘karent) | pr¹d (wody) zmienny np. w oceanie 
altitude | wysokoœæ nad poziomem morza 
aluminium alloy | stop aluminiowy 
amber | bursztyn
analgesic | przeciwbólowy (np. œrodek, lek ltp.)
ampere-hour meter | licznik elektryczny ampero-godzinowy
anchor (‘anke) | kotwica, /zakotwiczenie martwego koñca liny/
anchor line (‘anke ³ajn) | odci¹g, lina kotwiczna
anchor winch | winda kotwiczna
anchorage | zakotwienie
anemometer | wiatromierz
angle of inclination | k¹t pochylenia
angle of intersection | k¹t przeciêcia


anifoaming agent | œrodek przeciwpieni¹cy ( np. dodatek do p³uczki) 
annular BOP (‘enjule bi-ou-pi) | pvewenter uniwersalny 
annular (‘enjule) | pierœcieniowy
annular space (‘enjule spejs) | przestrzeñ pierœcieniowa
annular velocity (‘enjule we’losyti) | prêdkoœæ w przestrzeni pierœcieniowej
annular volume (‘enjule ‘woljum) | objêtoœæ przestrzeni pierœcieniowej
annulus (‘enjulus) | pierœcieñ (np. miêdzy przewodem a rurami)
anode=(=positive electrode, plate) | anoda
anticipate | przewidywaæ, uprzedzaæ
anti-clockwise | w lewo (przy obracaniu), przeciwnie do ruchu wskazówek zegara
anti-collision system | program wiercenia zapewniaj¹cy bezkolizyjne „mijanie” otworów
Antiflow (‘antyflou) | osoba odpowiedzialna za bezpieczeñstwo przeciwerupcyjne
apparatus | aparat, aparatura
apparent power | moc pozorna
applicant | zg³aszaj¹cy siê, petent
application of force | przy³o¿enie si³y
application (epli’kejszn) | zastosowanie, /podanie, zg³oszenie, wniosek/
apply a force (e’plaj e fos) | przy³o¿yæ si³ê
apply a load (e’plaj e loud) | obci¹¿yæ (np. ciê¿arem)
approach to land | podchodziæ (d¹¿yæ) do l¹dowania (np. helikopter)
approval (e’pruwal) | zatwierdzenie, aprobata
approximately-(-approx.) (e'proksymetli) | w przybli¿eniu, oko³o
aquafortis | kwas azotowy
aquifer | formacja wodonoœna
aquifuge | formacja, warstwa wodoszczelna
arc | ³uk (geom.), /³uk elektryczny/
arrival (erajwl) | przyjazd, przylot
artesian well | studnia artyzyjska
asbestos | azbest
ask (ask) | pytaæ
assemble (e’sembl) | montowaæ, sk³adaæ, /gromadziæ siê, zbieraæ siê/ 
assembly | zestaw, monta¿, komplet, zbiór
assistant driller=(=A.D.) (e’systent ‘dryler) | pomocnik wiertacza (do³owy) 
associated gas (e’souszijejtyd gez) | gaz towarzysz¹cy 
assume a risk (e’sjum e rysk) | ryzykowaæ, podejmowaæ ryzyko 
assumed reserves | zasoby przewidywane
assurance=(=insurance) (e’szjurens/ in’szjurens) | ubezpieczenie, zapewnienie 
astern | do ty³u, wstec2, na rufie, za ruf¹ 
at constant pressure | pod sta³ym ciœnieniem 
at grade | w poziomie
atchward | na trawersie, w poprzek (statku) 
at sea | w morzu
at the average=(=on the average) | œrednio 
audible | s³yszalny
authorized person | osoba uprawniona (upowa¿niona) 
autogenous welding | spawanie gazowe 
automatic controller | automatyczny regulator 
automatic cutout | wy³¹cznik samoczynny


automatic driller (oto’matyk ‘dryler) | wiertacz automatyczny 
auxiliary | pomocniczy, dodatkowy
auxiliary brake | hamulec pomocniczy (np. hydrauliczny w wyci¹gu) 
available (e’wejlebl) | dostêpny, osi¹galny, gotowy do dzia³ania, w dyspozycji 
average | wartoœæ œrednia, wynosiæ przeciêtnie, uœredniaæ, potocznie œrednio 
average output (‘ewreyd¿ ‘autput) | potocznie œrednie wydobycie ropy lub gazu 
award a contract | przyj¹æ ofert¹ (przy przetargu) 
award a prize | przyznaæ nagrodê 
ax(e) | topór, siekiera
axial dearance=(-axial play, end play) | luz wzd³u¿ny 
azimuth | azymut
B
A.	S.-(-bit	sub)(byt sab) | ³¹cznik nsdœwidrowy o po³¹czeniu m x m
baby (‘bejbi) | przeciwciê¿ar, /potocznie ma³y/, /dziecko, niemowlê/ 
back band (bek bend) | taœma hamulcowa
back flow (bek flou) | wyp³yw z otworu po wy³¹czeniu pompy, oddawanie p³uczki 
back nut | przeciwnakr¹tka
back off (bek of) | odkrêcanie w lewo (np. przewodu przychwyconego w otworze) 
back pressure (bek ‘presze) | przeciwciœnienie 
back running | bieg wsteczny
back up line (bek ap ³ajn) | lina kontruj¹ca klucz maszynowy
back up tong (bek ap tong) | klucz kontruj¹cy (trzymaj¹cy (dolny)) do rur
back-draft | wsteczny bieg
back-pressure valve | zawór zwrotny
backward | wsteczny, przeciwbie¿ny, ruch do ty³u
bactericide | œrodek bakteriobójczy (np. do p³uczki)
bad condition=(=poor condition) | z³y stan np. urz¹dzenia, z³e warunki
baffle=:(=baffle plate) | przegroda (np. w korytach p³uczkowych), zastawka
baffling wind | wiatr zmienny
baggage=(=luggage) | baga¿
bail | pa³¹k, uchwyt, /zawiesie haka lub g³owicy p³uczkowej/
bailer | czerpak do wody
bailing line=(=sand line) | lina ³y¿kowa
bailing | ³y¿kowanie z otworu wiertniczego
bailings | urobek wiertniczy
balance | równowa¿yæ
balance bob | przeciwciê¿ar
balance sheet | bilans
balance wheel | ko³o zamachowe
balancing strap | pasek gumowy do podwieszania elewatora 
ballast | balastowaæ (np. platformê wiertnicz¹, statek itp.), balast 
ballast tank | zbiornik balastowy (platformy, statku) 
ballast water | woda balastowa
ballasted condition | nape³nianie zbiorników balastowych 
ball bearing | ³o¿ysko kulkowe
balling | zlepianie siê zwiercin, oblepianie urobkiem zestawu wiertniczego
ball-pen (bol-pen) | d³ugopis
ball race | bie¿nia ³o¿yska kulkowego


ball-shaped (boi szejpt) | kulisty (kszta³t) 
ball up (boi ap) | oblepianie siê œwidra urobkiem 
ball valve | zawór kulowy 
bamboo | bambus
band brake block | ok³adzina taœm hamulcowych 
band brake | hamulec taœmowy 
band rim | wieniec taœm hamulcowych 
bar (bar)=(=crowbar, jemmy) | szpic, ³om
bar elevator | chom¹to mocowane w elewatorze do podwieszania kr¹¿ka geofizycznego
barbed wire (‘barbd ‘³aje) | drut kolczasty
barge (bad¿) | barka, ponton jako kad³ub platfonny
barite (be’rajt) | baryt
barrack | barak (np.mieszkalny)
barrel (‘barel) | bary³ka (jedn.miary =159 litrów), /beczka/, /tuleja/ 
barrel bearing | ³o¿ysko bary³kowe 
basalt | bazalt
base (bejs) | baza, pod³o¿e, p³yta fundamentowa
base bearing (bejs ‘bering) | ³o¿ysko g³ówne
base level (bejs ‘lewel) | poziom zerowy
basie (‘bejzik) | podstawowy, zasadniczy
basin | basen, zag³êbienie, niecka, rezerwuar
basket | frezochwytacz, /kosz, klatka transportowa/
basket grapple control | pierœcieñ oporowy koszyka overshota
basket grapple | koszyk (chwytak) overshota
basket grapple control packer | pierœcieñ oporowy koszyka overshota z 
zainstalowanym wewn¹trz uszczelnieniem gumowym (pakerem) 
basket grapple mill control packer | pierœcieñ oporowy koszyka overshota z 
zainstalowanym wewn¹trz pakerem, oraz z frezerem pierœcieniowym 
bathroom (‘batrum) | ³azienka
battery | bateria elektryczna, akumulator elektryczny 
bayonet coupling | ³¹cznik bagnetowy, z³¹cze bagnetowe
beacon (‘bikon) | latarnia kierunkowa, ustawiaæ znaki nawigacyjne (np.na morzu)
beacon (‘bikon) | œwiat³o ostrzegawcze
beam (bim) | belka, dŸwigar, / najwiêksza szybkoœæ statku/
beam sea | fala boczna (na morzu)
beam wind | wiatr boczny (na morzu)
bean (bin) | zwê¿ka sta³a, /ziarno np. fasoli, kawy itp./
bearing (‘bering) | ³o¿ysko, panew, /podpora, podparcie, element noœny/
bearing pillow | panew
bearing slackness | luz ³o¿yska
Beaufort force=(=Beaufort number) | stopieñ skali Beauforta
Beaufort wind scale | skala Beauforta
bed depth | wysokoœæ (mi¹¿szoœæ) z³o¿a
bed | pok³ad, z³o¿e, warstwa, /³ó¿ko, ³o¿e, stó³/
bed sheet (bet szit) | przeœcierad³o
bed volume (bet ‘woljum) | obj êtoœæ z³o¿a
beli guide (bel gajd) | lej naprowadzaj ¹cy
bell nipple (bel ‘nypl) | kominek z odlewem nad prewenterem


belly band | pas bezpieczeñstwa (biodrowy)
belly board (‘bely bod) | mostek w wie¿y do odstawiania pasów dwukawa³kowych
belt drive | napêd pasowy, przek³adnia pasowa
bench mark (bencz mak)=(=bench) | reper, punkt niwelacyjny
bench vise (bencz wajs) | imad³o sto³owe (warsztatowe, œlusarskie)
bend | zgiêcie, kolano, zginaæ, wyginaæ, /zwi¹zywaæ (koñce lin), przywi¹zywaæ/
bending | zginanie, giêcie, wyginanie, /przegub, krzywizna/
bending force=(=bending load) | si³a zginaj¹ca, obci¹¿enie zginaj¹ce
bending moment | moment zginaj¹cy
bending strength (bending strengt) | wytrzyma³oœæ na zginanie
bending stress | naprê¿enie zginaj ¹ce
bent sub=(=bend sub) | ³¹cznik krzywy (ods¹dzony)
bentonite (‘bentonajt) | bentonit
berth deck | pok³ad mieszkalny
berth | dobiæ do nabrze¿a, /koja, kuszetka/, /miejsce postoju statku/
bevel edge | sfazowanie
bevelling | fazowanie krawêdzi, ukosowanie
beyond repair | me nadaj ¹cy siê do naprawy
BHA (bi ejcz ej)=0=bottom hole assembly) | dolny zestaw przewodu
bid | oferta, oferowaæ, sk³adaæ ofertê, stawaæ do przetargu
bidder | oferent, staj¹cy do przetargu
big (byg) | du¿y, wielki
big repair (byg ri’pe) | remont kapitalny
bilge pump | pompa z bodni, pompa zêzowa
bit (byt) | œwider
        -air drilling bit  | do wiercenia powietrzem
        -carbide insert bit  | s³upkowy
        -center circulation bit  | z dysz¹ centraln¹
        -core bit  | koronka rdzeniowa
        -diamondbit | diamentowy
        -directional bit  | do wiercenia kierunkowego
        -down hole motors bit  | do motorów wg³êbnych (turbin)
-extendend nozzle bit  | z wyd³u¿onymi dyszami 
-fish tail & drag bit  | tzw. rybi ogon (skrawaj¹cy)
-fixed cutter bit  | skrawaj¹cy z nak³adanymi ostrzami 
-jet bit  | dyszowy
        -roller cone bit  | rolkowy (sto¿kowy)
        -rotary bit  | do wierceñ obrotowych (z napêdem górnym)
        -steel tooth type bit  | z zêbami stalowymi (frezowanymi) 
bit breaker (byt ‘brejke) | p³yta do docinania/ odcinania œwidrów 
bit break-in (byt brejk yn) | docieranie œwidra 
bit change (byt czeñd¿) | zmiana œwidra, wymiana œwidra 
bit clearance | przeœwit miêdzy œwidrem, a œcian¹ otworu lub rur 
bit consumption (bit kon’sampszn) | zu¿ycie œwidra 
bit gauge (byt gejd¿) | szablon do œwidrów 
bit leg | ³apa œwidra 
bit life (byt lajf) | ¿ywotnoœæ œwidra 
bit performance (byt pe’fomens) | osi¹gi œwidra


bit record (byt ‘rekod) | metryka œwidra (œwidrów)
bit size (byt sajz) | rozmiar œwidra
bit speed (byt spid) | obroty œwidra
bit sub (byt sab) | ³¹cznik nad œwidrem (nadœwidrowy)
bit wedging (byt ‘³ed¿ing) | zaklinowanie œwidra
bit weight (byt wejt)=(=wob, weight on bit) | nacisk na œwider
bit weight per unit area | nacisk jednostkowy na œwider
black-out button | wy³¹cznik awaryjny pr¹du (np. na konsoli wiertacza)
black-out (‘blekaut) | zaciemnienie, przerwa w dostawie pr¹du, awaryjne wy³¹czenie pr¹du
blacksmith | kowal
bladder (‘blede) | guma (membrana) w zbiorniku ciœnieniowym, dêtka 
blade bit | œwider skrawaj¹cy
blade (blejd) | ostrze (np. skrobaka, reamera, stabilizatora), /³opata wirnika/
blank flange=(=blind flange) | zaœlepka, œlepa kryza
blank liner | nieperforowana czêœæ traconek (linera)
blanket (‘blankit) | pok³ad, z³o¿e, warstwa, /koc/
blankind plug-(=blind plug) | korek zaœlepiaj¹cy
blasting | torpedowanie otworu wiertniczego
blast-podmuch, wybuch, /³adunek wybuchowy/, /wysadzaæ w powietrze/
bleed off line (blid of ³ajn) | ruroci¹g z manifoldu do odpuszczania ciœnienia
bleed off (blid of) | spuœciæ ciœnienie, odpuœciæ do zera
bleed valve (blid walw) | zawór spustowy
blender | mieszarka do cia³ sypkich (np. i³omieszarka)
blind (blaind) | œlepy np.³¹cznik, zaœlepiaæ, /zas³ona/, /niewidomy, œlepy/
blind drilling | wiercenie bez powrotu cyrkulacji (pe³ny zanik p³uczki)
blind flange (blaind flend¿) | œlepa kryza
blind rams (blaind remz) | szczêki pe³ne prewentera
block | klocek, blok, /zblocze, wielokr¹¿ek/, /segment/, /œlizg, suwak/
block a line | zaœlepiæ ruroci¹g
block line | lina wielokr¹¿kowa
block valve=(=needle valve) | zasuwa iglicowa
block-(=cargo block) | blok, blok ³adowniczy
blow through | przedmuchiwaæ (np. ruroci¹gi)
blow wild | erupcja, niekontrolowany wybuch
blower (‘bloue) | system ch³odzenia silnika elektrycznego (dmuchawa), wentylator
blow-out=(=blowup) | erupcja, nieopanowany samowyp³yw z otworu wiertniczego
blowout preventer | g³owica przeciwwybuchowa (prewenter)
blow-out preventer stack | zespó³ g³owicy przeciwerupcyjnej= stos BOP
board (bod) | p³yta, / tablica/, /burta/, ./deska/, /tektura, karton/, /komisja/
board and lodgings | utrzymanie i mieszkanie
boat drill (bout dryl) | alarm ³odziowy
boat (bout) | ³ódŸ, ³ódka, szalupa, okrêt
boat station (bout ‘stejszn) | stanowisko w alarmie ³odziowym 
body (bodi) | korpus, /cia³o/, kad³ub 
body drill | wiert³o (do wiertarek)
bogie | podwozie z ko³ami (np. do przewozu niektórych wiertnic lub ich elementów) 
boiler house | kot³ownia 
boiler oil | oiej opa³owy, mazut


boll weevil | robotnik niedoœwiadczony 
bollard-(=bitt) | polar, pacho! cumowniczy
bolt | œruba (jednostronnie gwintowana), sworzeñ, ko³ek, umacniaæ sworzeñ
bond | materia³ cementuj¹cy, spoiwo, lepiszcze, /z³¹cze elektryczne/
bonded warehouse | sk³ad celny
bonnet | dekiel, pokrywa, os³ona, /maska silnika/
bonus | premia
booking | zarezerwowanie (np. biletu lotniczego) 
boom | maszt, bom ³adunkowy, wysiêgnik
booster pump | pompa zasilaj¹ca pompy p³uczkowe, pompa wspomagaj¹ca 
boosting (‘busting) | do³adowanie (np. cylindra, pompy) 
boots (buts) | wysokie buty robocze, /buty zimowe-kozaki/
BOP (bi ou pi)=(=preventer) | prewenter (g³owica przeciwwybuchowa)
BOP-drill | æwiczebny alarm „Erupcja”
BOP hydraulic hoses (bi ou pi haj’drolyk houzyz) | wê¿e hydrauliczne do prewentera 
BOP-liaison lines | przewody sterownicze prewenterami podwodnymi 
BOP size (bi ou pi sajz) | rozmiar prewenterów (rozmiar nominalny)
BOP stack (bi ou pi stak) | zestaw (stos) prewenterów wraz z uzbrojeniem otworu 
BOP wheels (bi ou pi ³ils) | pokrêt³a do zanikniêcia rêcznego prewentera 
bore hole troubles | komplikacje w otworze 
bore out | rozszerzenie otworu
bore-hole conditions | warunki w otworze wiertniczym 
bore-hole | otwór wiertniczy, /odwiert/ 
bore-hole pump | pompa g³êbinowa 
borehole=(=well) | otwór wiertniczy 
bosun=(=boatswain) | bosman
bottom | dno, spód (np. otworu wiertniczego), /sp¹g pok³adu/ 
bottom board | pod³oga ³odzi
bottom flange (‘botm flend¿) | dolna kryza (np. prewentera, wiêŸby, wózka)
bottom hole pressure | ciœnienie denne w otworze wiertniczym
bottom hole | spód otworu wiertniczego
bottom p³ug ("botm plag) | dolny klocek (cementacyjny)
bottom time (‘botm tajm) | czas pracy œwidra na dnie otworu
bottom valve | zawór denny (platformy wiertniczej, statku)
bottoms-up (‘botmz ap) | wyp³ukanie otworu ze spodu (obieg ze spodu)
boulder=(=cobble) | kamieñ narzutowy, otoczak
bouncing bit | prostopad³e udary œwidra, t¹pania œwidra
bound water | woda zwi¹zana
bow | dziób (statku), /wygiêcie/, /pa³¹k, kab³¹k/
bowl | frak naprowadzaj¹cy, /misa, czasza/
box (boks) | skrzynka, pud³o, /mufa (np. przewodu wiertniczego itp.)/
box spanner=(=box wrench) | klucz nasadowy, oczkowy
box-pin | mufa-czop (po³¹czenia gwintowego)
brace | podpora, zastrza³, element wzmacniaj¹cy
brackish water | woda s³onawa
bradenhead squeezing | cementowanie na ch³onnoœæ bez przewodu/ syfonówek 
braid=(=plait)~ oplot (np. kabla, liny itp.) 
brake (brejk) | hamulec


brake band (brejk bend) | taœma hamulca
brake band block=(=brake block) | klocek hamulcowy
brake cam | zapadka hamulca
brake disk | tarcza hamulca
brake drum (brejk dram) | bêben hamulcowy
brake fluid | p³yn hamulcowy
brake lever (brejk ‘lewe) | dŸwignia hamulca (na wiertni tzw. laga)
brake lining (brejk ‘lajning) | ok³adzina szczêk hamulca
brake rim (brejk rym) | obrze¿yna taœm hamulcowych
brake rod (brejk rod) | ciêg³o hamulca, dr¹¿ek hamulca
brake shoe holder | obsada klocka hamulcowego
brake shoe (brejk szu) | klocek hamulcowy, szczêka hamulcowa
braking fluid=(=brake fluid) | p³yn hamulcowy
branch off | rozga³êziaæ siê
branch pipe | rozga³êzienie ruroci¹gu, trójnik rurowy 
brand new (brend nju) | fabrycznie nowy 
brass | mosi¹dz
brazing brass | spoiwo mosiê¿ne, lut mosiê¿ny, mosi¹dz lutowniczy 
brazing | lutowanie twarde (mosi¹dzem) 
breadth=(=width) | szerokoœæ
break (brejk) | przerwanie, urwanie, pêkniêcie, przerwa (w pracy), /³amaæ, t³uc/ 
break-down (‘brejk-daun) | awaria, powa¿ne uszkodzenie (z przerw¹ w pracy) 
breaker switch (‘brejke slycz) | wy³¹cznik elektryczny 
break-in | docieraæ, docieranie (np. œwidra) 
breaking load | obci¹¿enie rozrywaj¹ce
breaking out (‘brejking aut) | rozkrêcanie (rozcinanie) przewodu , obci¹¿ników itp. 
breaking out line=(=break out sling) | zerwanie (przerwanie) siê liny, zawiesia linowego 
breaking strength=(=breakrng point)  | wytrzyma³oœæ na rozerwanie 
break out (brejk aut) | rozkrêciæ, rozci¹æ (np. przewód , obci¹¿niki) 
break-out plate | p³yta do dokrêcania/ odkrêcania œwidra 
z bêbenkiem pomocniczym wyci¹gu wiertniczego
break out sling (brejk aut sling) | pêto (lina ci¹gn¹ca) ³¹cz¹ce klucz maszynowy 
break time (brejk tajm) | czas przestoju
breathing apparatus (‘briding epe’rejtes) | aparat oddechowy izoluj¹cy 
breather | odpowietrznik, 
brick | ceg³a
bridge (bryd¿) | most, /mostek kapitañski/, /mostek elektr./, /s³upek pierœcienia t³okowego/ 
bridge p³ug (brycz plag) | korek lik wid. czêœci otworu (np. zapinany na kablu geofizycznym) 
bridge the hole | powstanie zasypu w otworze wiertniczym
bridge=(=control room) | mostek (pomieszczenie), sterownia (np. platform¹, statkiem itp.) 
bridging material=(=plugging material) | material do likwidacji ucieczek p³uczki 
brine (brajn) | solanka 
bring (bring) | przynieœæ
bring up to date | modernizowaæ, unowoczeœniaæ 
bronze | br¹z (metal) 
brown coal | wêgiel brunatny
brush (brasz) | szczotka (malarska,do zamiatania), pêdzel, /malowaæ pêdzlem/ 
bubble | poduszka gazowa w p³uczce, /pêcherzyk/


bucket | wiadro
buckeying=(=gophering, coyoting) | gospodarka rabunkowa z³o¿em 
bucling | wyboczenie, wygiêcie siê (np. prêta, kolumny rur itp.) 
buffer | zderzak, padk³adka, bufor
build up assembly | zestaw przewodu do zwiêkszenia odchylenia (buduj¹cy k¹t)
build up (bild ap) | zwiêkszaæ odchylenie otworu, /narastaæ, budowaæ/
building (‘bilding) | budynek, /budownictwo/
building paper=(=tar board) | papa (budowlana)
bulged pipe (bald¿d pajp) | rura owalna
bulk capacity (balk ke’pasyti) | pojemnoœæ silosu
bulk cement (balk si’ment) | cement luzem
bulk handling | obs³uga silosu
bulk (balk) | masa w stanie sypkim (du¿a iloœæ), silos, materia³y sypkie
bulk module=(=bulk tank) | silos
bulker=(=bulk truck) | samochód silos
bulkhead | gródŸ, przegroda
bulkhead door | drzwi grodziowe
bullnose | stopa (np. próbnika), but z prowadnikiem, prowadnik wyoblony 
bumper (‘bampe) | zderzak, /kowai stoczniowy/
bumper jar-(=bumper sub) | no¿yce udarowe mechaniczne (zbijakowe) 
do instrumentacji | (do zbijania przewodu w dó³) 
bumper sub (‘bampe sab) | ³¹cznik udarowy do instrumentacji 
bump the plug | uderzenie klocka cementacyjnego w pierœcieñ oporowy 
bunk | koja (³ó¿ko na statku)
bunker | zaopatrywaæ statek/ platformê w paliwo (bunkrowaæ) 
bunkhouse=(=shack) | barak lub kontener mieszkalny 
buoy | boja, p³awa
buoyancy factor | wspó³czynnik wypornoœci 
burden | ska³y nadk³adu
bereau of mines=(=state mining bureau) | urz¹d górniczy 
burner | palnik (np. do ciêcia), /komora spalania/ 
burning point | temperatura zap³onu 
burr | zadzior
bursting pressure=(=burst pressure) | ciœnienie rozrywaj¹ce od wewn¹trz
bursting strength | wytrzyma³oœæ na rozerwanie
bury-zakopaæ
bus=(=omnibus, niotorbus, coach) | autobus (autokar) 
bush | tuleja, tulejka, panew. panewka, /krzak, krzew, zaroœla/ 
bushing (‘buszing) | wk³ady do sto³u 
business card-(-visit card) | wizytówka
business trip (‘byznes tryp) | delegacja s³u¿bowa, podró¿ w interesach 
busy Obizi) | zajêty, zajêta np. linia, /zapracowany/ 
butt weld | spoina czo³owa
butterfly nut (‘bateflaj nat) | nakrêtka motylkowa 
butterfly valve (‘bateflaj walw) | zasuwa klapowa 
by comparison | porównawczo, w porównaniu z ... 
by contract | na podstawie umowy 
by formula | wg wzoru


by gravity | pod w³asnym ciê¿arem 
by hand | rêcznie 
by instruction | wg instrukcji
by mistake (baj mis’tejk) | omy³kowo, przez pomy³kê 
by phone | przez telefon 
by stages | stopniowo
by-pass (‘bajpas) | bocznik, zawór przepustowy, obejœcie, obchodziæ, omijaæ
C
cabinet-maker | stolarz meblowy
